Date,Fremont Bridge NB,Fremont Bridge SB,Total Bicycle Count,Conditions
9/10/2014,2320,1695,4015,
9/11/2014,2126,1916,4042,
9/12/2014,1917,1986,3903,
9/13/2014,1177,1190,2367,
9/14/2014,1039,1142,2181,
9/15/2014,1836,2614,4450,
9/16/2014,2091,2247,4338,
9/17/2014,1864,1861,3725,Rain
9/18/2014,1656,1616,3272,Rain
9/19/2014,1841,1893,3734,
9/20/2014,1071,1154,2225,
9/21/2014,1052,1165,2217,
9/22/2014,1670,2116,3786,
9/23/2014,1515,1901,3416,Rain
9/24/2014,1049,1117,2166,Rain
9/25/2014,1458,1504,2962,Rain
9/26/2014,1175,1336,2511,Rain
9/27/2014,1066,1259,2325,
9/28/2014,825,993,1818,
9/29/2014,1474,1561,3035,Fog-Rain
9/30/2014,1513,2049,3562,Rain
10/1/2014,1663,2174,3837,Rain
10/2/2014,1664,2232,3896,
10/3/2014,1491,2218,3709,
10/4/2014,880,1060,1940,
10/5/2014,950,1212,2162,Fog
10/6/2014,1793,2281,4074,Fog
10/7/2014,1653,2211,3864,Fog
10/8/2014,1622,2158,3780,Fog
10/9/2014,1557,2106,3663,Fog
10/10/2014,1215,1742,2957,Fog-Rain
10/11/2014,483,648,1131,Rain-Thunderstorm
10/12/2014,720,839,1559,Rain
10/13/2014,1388,1967,3355,Fog-Rain
10/14/2014,1550,1647,3197,Rain
10/15/2014,1140,1415,2555,Rain
10/16/2014,1503,2126,3629,Rain
10/17/2014,973,1236,2209,Rain
10/18/2014,583,795,1378,Rain
10/19/2014,994,1254,2248,
10/20/2014,1544,1314,2858,Rain
10/21/2014,1633,1331,2964,Rain
10/22/2014,974,1113,2087,Rain
10/23/2014,1189,1192,2381,Rain
10/24/2014,1570,1208,2778,Rain
10/25/2014,368,372,740,Rain
10/26/2014,409,507,916,Rain
10/27/2014,1877,1453,3330,Rain
10/28/2014,1118,1143,2261,Rain
10/29/2014,1905,1491,3396,Rain
10/30/2014,1166,1226,2392,Rain
10/31/2014,932,1006,1938,Rain
11/1/2014,581,713,1294,Fog
11/2/2014,481,591,1072,Rain
11/3/2014,1219,1284,2503,Rain
11/4/2014,1365,1425,2790,Rain
11/5/2014,1553,1219,2772,Rain
11/6/2014,1095,1153,2248,Rain
11/7/2014,1826,1252,3078,
11/8/2014,1246,608,1854,Fog
11/9/2014,308,444,752,Rain
11/10/2014,1781,1473,3254,
11/11/2014,1573,1218,2791,
11/12/2014,1484,1258,2742,
11/13/2014,1372,1244,2616,
11/14/2014,971,1206,2177,
11/15/2014,493,590,1083,
11/16/2014,474,530,1004,
11/17/2014,1174,1524,2698,
11/18/2014,1429,1404,2833,
11/19/2014,1575,1260,2835,Rain
11/20/2014,1517,1208,2725,Rain
11/21/2014,859,899,1758,Rain
11/22/2014,504,550,1054,Rain
11/23/2014,362,425,787,Rain
11/24/2014,1051,1367,2418,Rain
11/25/2014,873,1078,1951,Rain
11/26/2014,1077,1162,2239,
11/27/2014,205,295,500,Rain
11/28/2014,153,171,324,Rain
11/29/2014,176,169,345,Snow
11/30/2014,250,243,493,
12/1/2014,865,944,1809,
12/2/2014,1102,1037,2139,
12/3/2014,1275,1019,2294,
12/4/2014,1145,951,2096,Rain
12/5/2014,984,944,1928,Rain
12/6/2014,424,478,902,Rain
12/7/2014,566,628,1194,
12/8/2014,1390,999,2389,Rain
12/9/2014,919,1200,2119,Rain
12/10/2014,749,1208,1957,Rain
12/11/2014,1199,422,1621,Rain
12/12/2014,1120,1181,2301,
12/13/2014,562,641,1203,Fog-Rain
12/14/2014,555,677,1232,Fog
12/15/2014,1735,548,2283,
12/16/2014,1004,1420,2424,Rain
12/17/2014,1392,587,1979,Rain
12/18/2014,712,1229,1941,Rain
12/19/2014,917,953,1870,Rain
12/20/2014,188,216,404,Rain
12/21/2014,390,454,844,
12/22/2014,1124,1132,2256,
12/23/2014,670,730,1400,Rain
12/24/2014,383,430,813,Rain
12/25/2014,198,253,451,Fog
12/26/2014,514,485,999,Fog
12/27/2014,262,281,543,Rain
12/28/2014,292,352,644,Rain
12/29/2014,820,821,1641,
12/30/2014,744,756,1500,
12/31/2014,5,3,8,
