Date,Total.Bicycle.Count,Conditions
7/20/2014,1535,
7/21/2014,4525,
7/22/2014,4778,
7/23/2014,1989,Rain-Thunderstorm
7/24/2014,3002,Rain
7/25/2014,4072,
7/26/2014,2710,
7/27/2014,2627,
7/28/2014,4796,
7/29/2014,5248,
7/30/2014,5059,
7/31/2014,4835,
8/1/2014,4106,Rain
8/2/2014,2110,Rain-Thunderstorm
8/3/2014,2517,
8/4/2014,4690,
8/5/2014,4819,
8/6/2014,4778,
8/7/2014,4553,
8/8/2014,3956,
8/9/2014,2429,
8/10/2014,2550,
8/11/2014,4325,Rain-Thunderstorm
8/12/2014,3767,Rain
8/13/2014,3286,Rain
8/14/2014,4029,Fog-Rain
8/15/2014,3122,Rain
8/16/2014,2384,
8/17/2014,2446,
8/18/2014,4636,
8/19/2014,4934,
8/20/2014,4189,
8/21/2014,4324,
8/22/2014,3835,
8/23/2014,2430,
8/24/2014,2419,
8/25/2014,4983,
8/26/2014,5551,
8/27/2014,5046,
8/28/2014,4409,
8/29/2014,3188,
8/30/2014,859,Rain
8/31/2014,1820,Rain
9/1/2014,2356,
9/2/2014,3493,Rain
9/3/2014,4121,
9/4/2014,4940,
9/5/2014,4187,
9/6/2014,2400,
9/7/2014,2214,
9/8/2014,3809,Rain
9/9/2014,3988,
9/10/2014,4015,
9/11/2014,4042,
9/12/2014,3903,
9/13/2014,2367,
9/14/2014,2181,
9/15/2014,4450,
9/16/2014,4338,
9/17/2014,3725,Rain
9/18/2014,3272,Rain
9/19/2014,3734,
9/20/2014,2225,
9/21/2014,2217,
9/22/2014,3786,
9/23/2014,3416,Rain
9/24/2014,2166,Rain
9/25/2014,2962,Rain
9/26/2014,2511,Rain
9/27/2014,2325,
9/28/2014,1818,
9/29/2014,3035,Fog-Rain
9/30/2014,3562,Rain
10/1/2014,3837,Rain
10/2/2014,3896,
10/3/2014,3709,
10/4/2014,1940,
10/5/2014,2162,Fog
10/6/2014,4074,Fog
10/7/2014,3864,Fog
10/8/2014,3780,Fog
10/9/2014,3663,Fog
10/10/2014,2957,Fog-Rain
10/11/2014,1131,Rain-Thunderstorm
10/12/2014,1559,Rain
10/13/2014,3355,Fog-Rain
10/14/2014,3197,Rain
10/15/2014,2555,Rain
10/16/2014,3629,Rain
10/17/2014,2209,Rain
10/18/2014,1378,Rain
10/19/2014,2248,
10/20/2014,2858,Rain
10/21/2014,2964,Rain
10/22/2014,2087,Rain
10/23/2014,2381,Rain
10/24/2014,2778,Rain
10/25/2014,740,Rain
10/26/2014,916,Rain
10/27/2014,3330,Rain
10/28/2014,2261,Rain
10/29/2014,3396,Rain
10/30/2014,2392,Rain
10/31/2014,1938,Rain
11/1/2014,1294,Fog
11/2/2014,1072,Rain
11/3/2014,2503,Rain
11/4/2014,2790,Rain
11/5/2014,2772,Rain
11/6/2014,2248,Rain
11/7/2014,3078,
11/8/2014,1854,Fog
11/9/2014,752,Rain
11/10/2014,3254,
11/11/2014,2791,
11/12/2014,2742,
11/13/2014,2616,
11/14/2014,2177,
11/15/2014,1083,
11/16/2014,1004,
11/17/2014,2698,
11/18/2014,2833,
11/19/2014,2835,Rain
11/20/2014,2725,Rain
11/21/2014,1758,Rain
11/22/2014,1054,Rain
11/23/2014,787,Rain
11/24/2014,2418,Rain
11/25/2014,1951,Rain
11/26/2014,2239,
11/27/2014,500,Rain
11/28/2014,324,Rain
11/29/2014,345,Snow
11/30/2014,493,
12/1/2014,1809,
12/2/2014,2139,
12/3/2014,2294,
12/4/2014,2096,Rain
12/5/2014,1928,Rain
12/6/2014,902,Rain
12/7/2014,1194,
12/8/2014,2389,Rain
12/9/2014,2119,Rain
12/10/2014,1957,Rain
12/11/2014,1621,Rain
12/12/2014,2301,
12/13/2014,1203,Fog-Rain
12/14/2014,1232,Fog
12/15/2014,2283,
12/16/2014,2424,Rain
12/17/2014,1979,Rain
12/18/2014,1941,Rain
12/19/2014,1870,Rain
12/20/2014,404,Rain
12/21/2014,844,
12/22/2014,2256,
12/23/2014,1400,Rain
12/24/2014,813,Rain
12/25/2014,451,Fog
12/26/2014,999,Fog
12/27/2014,543,Rain
12/28/2014,644,Rain
12/29/2014,1641,
12/30/2014,1500,
12/31/2014,8,
